YufengLeft	x	y	z	u	v
X2Y1	-0.41	3.653	1.837	453	68
X2Y2	-0.006	3.619	1.838	757	74
X2Y3	0.322	3.605	1.831	1021	86
X2.5Y2	-0.003	3.586	1.727	756	155
X3Y1	-0.406	3.462	1.591	430	268
X3Y2	-0.008	3.451	1.581	747	276
X3Y3	0.319	3.417	1.587	1020	279
X3.5Y2	-0.015	3.385	1.455	737	374
X4Y1	-0.403	3.257	1.334	422	483
X4Y2	-0.012	3.225	1.327	739	494
X4Y3	0.325	3.224	1.328	1016	502
X4.5Y2	-0.028	3.217	1.205	741	583
X5Y1	-0.392	3.052	1.083	415	708
X5Y2	-0.02	3.058	1.08	721	717
X5Y3	0.291	3.06	1.073	1010	730
X5.5Y2	-0.023	3.037	0.95	722	831
X6Y1	-0.399	2.898	0.838	384	947
X6Y2	-0.027	2.89	0.838	715	948
X6Y3	0.328	2.908	0.835	1038	954
X6.5Y2	-0.045	2.859	0.718	717	1053
